"il menu, per favore;Can I see the menu?"
Che cosa ci consiglia?;What do you recommend?
"Sono allergica/o a…;I'm allergic to…"
"glutine;gluten"
"lattecini;dairy"
"una bicchiere;a glass"
"una bottiglia;a bottle"
"antipasto;appetizer"
"primo;first course"
"secondo;second course"
"dolci;desser"
"due gusti, per favore;two flavors please"
"Dov’è il bagno?;Where's the bathroom?"
"Il conto, per favore;The check, please"
Posso pagare con la carta?'Can I by by card?
"Posso pagare in contanti?;Can I pay with cash?"
"Un tavolo per due, per favore;Table for two, please"
"Avete un tavolo per due?;Do you have table for two?"
"C’è un tavolo per due persone?;Is there a table for two?"
"Vorrei…;I would like…"
"Prendo…;I'll take…"
"contorno;side dish"
"Prego, siete pronti per ordinare?;Ready to order?"
"Vorrei un bicchiere d'acqua;I would like glass of water"
"Per me;For me"
"acqua naturale;still water"
"acqua gassata;sparkling water"
"cameriere;waiter"
"cameriera;waitress"
"È possible averla con la Mozzarella di bufala?;Can I have it with buffalo mozzarella?"
"Allora la prendo cosi;Okay, I'll take it that way then"
"A da bere?;What's for drink?"
"una birra piccola;a small beer"
"una birra grande;a large beer"
"una birra scura;a dark beer"
"una birra bianca;a light beer"
"Basta cosi?;Is that all?"
